TweetID,Username,Date,Retweets,Favorites,Text,Mentions,Permalink
914276466740940800,BonsPlansGolf,2017-09-30 19:51,0,0,"NIKE Gants Dura Feel V Reg RH http:// bit.ly/2fvJwSf #golf , #bonsplansgolf , #sport Alerte Bons Plans Golf",,https://twitter.com/BonsPlansGolf/status/914276466740940800
914266717550993413,campfireballer,2017-09-30 19:12,0,0,"Hey @nike #campfireball is still taking meetings with sneaker deal sponsors, so feel free to https://www. instagram.com/p/BZruOO3gpcP/",@nike,https://twitter.com/campfireballer/status/914266717550993413
914264506510876672,Nike_N_Swagg,2017-09-30 19:03,0,1,don't feel special cause a nigga post you his ass still be in other bitches messages saying he single,,https://twitter.com/Nike_N_Swagg/status/914264506510876672
914261683798908928,Skletch,2017-09-30 18:52,0,1,The new Nike swingman jerseys are ugly. They look and feel like some Walmart shit.,,https://twitter.com/Skletch/status/914261683798908928
914258388971790336,peterob85,2017-09-30 18:39,0,0,Do the Nike jerseys feel better than addidas one's??,,https://twitter.com/peterob85/status/914258388971790336
914250839191146497,Nike_shoeionare,2017-09-30 18:09,0,0,"Dude I feel so bad. I couldnt imagine my sister having 24 hours to live and no one telling me, because im not well enough to hear the news",,https://twitter.com/Nike_shoeionare/status/914250839191146497
914228620293484544,IntegranWo,2017-09-30 16:41,0,1,"These Air Max 2007 feel like straight pillows on my feet rn. Super underrated pair. Thanks for bringing them back @Nike . P.s. please point me to a volt shirt with "" Nike Air"" over the swoosh in red to match. Thanks pic.twitter.com/1h2zwJwLnK",@Nike,https://twitter.com/IntegranWo/status/914228620293484544
914216032214159360,Trump2020Yuge,2017-09-30 15:51,1,3,"@KingJames Lets tell them how we feel about you comments, Coca-Cola, Nike , Upper Deck, Samsung, Audemars Piguet and Dunkin Donuts. $$ gone. https:// twitter.com/league2734/sta tus/914210292929875968 ",@KingJames,https://twitter.com/Trump2020Yuge/status/914216032214159360
914215324911853568,WVUD1Hockey,2017-09-30 15:48,0,1,"Hi Kervie, we have ordered Nike jerseys and they will be available soon. Feel free to browse our apparel online: http:// mountaineerhockeystore.com",,https://twitter.com/WVUD1Hockey/status/914215324911853568
914215095017906176,ZakirHussain42,2017-09-30 15:47,0,0,I feel like that new nike aubamyang logo should be his next hair cut,,https://twitter.com/ZakirHussain42/status/914215095017906176
