Date,Positive,Negative,Neutral,Change
9/30/2016,1,0,2,1
10/1/2016,12,2,25,1
10/2/2016,21,4,52,1
10/3/2016,33,15,70,1
10/4/2016,40,16,82,0
10/5/2016,46,17,79,0
10/6/2016,50,14,80,0
10/7/2016,40,15,73,0
10/8/2016,37,18,68,0
10/9/2016,27,10,72,0
10/10/2016,35,8,67,0
10/11/2016,35,4,73,0
10/12/2016,42,7,66,1
10/13/2016,35,10,71,0
10/14/2016,32,10,70,0
10/15/2016,28,11,77,0
10/16/2016,36,6,76,0
10/17/2016,39,9,83,0
10/18/2016,40,8,78,0
10/19/2016,31,11,66,1
10/20/2016,31,8,53,1
10/21/2016,29,6,53,1
10/22/2016,26,5,53,0
10/23/2016,22,6,57,0
10/24/2016,23,8,53,0
10/25/2016,38,8,64,1
10/26/2016,38,10,67,1
10/27/2016,46,16,68,0
10/28/2016,37,16,64,0
10/29/2016,33,14,52,0
10/30/2016,22,7,51,0
10/31/2016,22,9,42,0
11/1/2016,32,11,48,0
11/2/2016,38,12,54,1
11/3/2016,41,11,82,0
11/4/2016,39,11,76,1
11/5/2016,36,12,71,1
11/6/2016,30,14,56,1
11/7/2016,32,15,69,1
11/8/2016,28,15,88,0
11/9/2016,27,14,95,1
11/10/2016,19,12,84,0
11/11/2016,23,8,66,1
11/12/2016,20,7,52,0
11/13/2016,24,5,62,0
11/14/2016,30,9,64,0
11/15/2016,38,11,67,0
11/16/2016,38,15,68,1
11/17/2016,24,16,62,1
11/18/2016,21,15,58,0
11/19/2016,16,11,45,0
11/20/2016,25,8,51,1
11/21/2016,25,9,58,1
11/22/2016,24,8,70,1
11/23/2016,21,8,68,0
11/24/2016,16,9,61,0
11/25/2016,25,13,60,0
11/26/2016,30,19,67,0
11/27/2016,36,21,68,0
11/28/2016,30,20,69,0
11/29/2016,29,16,77,0
11/30/2016,30,11,84,0
12/1/2016,32,9,83,1
12/2/2016,28,10,77,1
12/3/2016,28,11,66,1
12/4/2016,23,11,57,1
12/5/2016,25,13,62,1
12/6/2016,27,13,85,0
12/7/2016,36,16,90,1
12/8/2016,39,13,81,0
12/9/2016,42,14,64,0
12/10/2016,40,17,75,1
12/11/2016,36,20,77,1
12/12/2016,33,19,79,1
12/13/2016,31,15,63,1
12/14/2016,25,10,71,0
12/15/2016,21,10,61,0
12/16/2016,19,12,63,0
12/17/2016,21,12,53,0
12/18/2016,21,12,60,0
12/19/2016,21,9,65,0
12/20/2016,29,8,71,1
12/21/2016,29,7,71,0
12/22/2016,35,10,75,0
12/23/2016,31,10,66,0
12/24/2016,31,8,64,0
12/25/2016,25,7,57,0
12/26/2016,26,15,60,0
12/27/2016,33,15,63,0
12/28/2016,37,17,66,0
12/29/2016,32,11,69,1
12/30/2016,26,13,82,0
12/31/2016,23,10,80,0
1/1/2017,21,8,71,0
1/2/2017,24,9,69,0
1/3/2017,23,7,63,0
1/4/2017,28,12,65,1
1/5/2017,33,13,51,1
1/6/2017,35,19,58,1
1/7/2017,34,20,61,1
1/8/2017,22,19,57,0
1/9/2017,24,14,61,0
1/10/2017,27,8,68,0
1/11/2017,31,7,88,0
1/12/2017,37,12,91,0
1/13/2017,34,14,84,1
1/14/2017,32,17,66,1
1/15/2017,22,12,61,1
1/16/2017,20,13,64,1
1/17/2017,24,14,75,1
1/18/2017,30,12,78,0
1/19/2017,39,11,73,0
1/20/2017,36,7,64,0
1/21/2017,30,9,60,1
1/22/2017,33,8,51,1
1/23/2017,31,9,57,1
1/24/2017,36,10,57,1
1/25/2017,32,12,75,1
1/26/2017,35,13,76,0
1/27/2017,30,14,76,0
1/28/2017,26,13,73,0
1/29/2017,26,13,67,1
1/30/2017,31,15,70,1
1/31/2017,30,17,68,1
2/1/2017,29,19,74,1
2/2/2017,30,16,76,0
2/3/2017,30,18,74,0
2/4/2017,28,15,64,1
2/5/2017,20,14,47,1
2/6/2017,20,12,41,1
2/7/2017,18,11,48,0
2/8/2017,18,11,67,1
2/9/2017,19,9,81,1
2/10/2017,24,13,73,1
2/11/2017,24,11,59,1
2/12/2017,22,10,57,1
2/13/2017,24,10,66,0
2/14/2017,26,13,66,1
2/15/2017,30,15,69,1
2/16/2017,27,13,67,0
2/17/2017,25,13,77,1
2/18/2017,22,9,66,1
2/19/2017,24,9,56,1
2/20/2017,32,11,50,1
2/21/2017,37,17,47,1
2/22/2017,41,16,62,1
2/23/2017,40,17,65,0
