TweetID,Text,Category
9.14276E+17,"NIKE Gants Dura Feel V Reg RH http:// bit.ly/2fvJwSf #golf , #bonsplansgolf , #sport Alerte Bons Plans Golf",NT
9.14267E+17,"Hey @nike #campfireball is still taking meetings with sneaker deal sponsors, so feel free to https://www. instagram.com/p/BZruOO3gpcP/",NT
9.14265E+17,don't feel special cause a nigga post you his ass still be in other bitches messages saying he single,NT
9.14262E+17,The new Nike swingman jerseys are ugly. They look and feel like some Walmart shit.,N
9.14258E+17,Do the Nike jerseys feel better than addidas one's??,NT
9.14251E+17,"Dude I feel so bad. I couldnt imagine my sister having 24 hours to live and no one telling me, because im not well enough to hear the news",N
9.14229E+17,"These Air Max 2007 feel like straight pillows on my feet rn. Super underrated pair. Thanks for bringing them back @Nike . P.s. please point me to a volt shirt with "" Nike Air"" over the swoosh in red to match. Thanks pic.twitter.com/1h2zwJwLnK",P
9.14216E+17,"@KingJames Lets tell them how we feel about you comments, Coca-Cola, Nike , Upper Deck, Samsung, Audemars Piguet and Dunkin Donuts. $$ gone. https:// twitter.com/league2734/sta tus/914210292929875968 ",NT
9.14215E+17,"Hi Kervie, we have ordered Nike jerseys and they will be available soon. Feel free to browse our apparel online: http:// mountaineerhockeystore.com",NT
9.14215E+17,I feel like that new nike aubamyang logo should be his next hair cut,NT
9.14203E+17,It feel good today nike sweatsuit fresh out da sweatshop,P
9.14188E+17,I feel what you saying completely but if it wasnt for that Nike deal Russ equal if not more publicity than KD. Let Russ redo his shoe deal,NT
9.14172E+17,"I been striving for so long, & I still feel they don't hear me..",NT
9.14172E+17,One of Nike s first ever shoes with Zoom Air technology. And ya can feel it. Phew. Lawdy. https://www. instagram.com/p/BZrDNlNlL26/,P
9.14166E+17,"Damn, $70 @newbalance shoes feel a lot better and more comfortable than my $200 @Nike air max.. thats crazy. #conspiracy",N
9.14163E+17,I feel like nike compression shorts ain't what they used to be or is it just me?? Junk everywhere,N
9.14156E+17,"BAWSE! When you're lounging on top the only time you feel ""blue"" is when you look at your #NIKE #AF1 #shelace https:// goo.gl/E1x37h pic.twitter.com/Xqn4ianfwo",P
9.1415E+17,"I'm getting for spicing up my crossfit workouts! I hate the way my Reebok Crossfit feel and switch to Nike , already! These would pop!",P
9.14137E+17,"Yes, keep an eye out right here or feel free to check with authorized Nike retailers as well. | http:// gonike.me/601784Ogl",NT
9.14102E+17,Bat mas feel ko adidas kesa nike ? ala ewan hahaha,NT
9.14083E+17,I made a fire pair of shoes on Nike ID and I know Ima feel bad buying them cuz for $150-$200 I could buy mad vinyls and sound kits.,N
9.14069E+17,getting a weird feeling in my chest not sure if its psychological or real but i feel lucky to be an adapter of the same,NT
9.1405E+17,i need to buy new nike shoes to play basketball in because Nike shoes feel comfortable for me,P
9.14014E+17,But I mean people go and buy the same shirt 20 dollars dearer because it has a Nike logo but I guess it makes people feel good and accepted,P
9.14007E+17,Bring the sporty feel into your daily look with the new Nike Flexon Hyper frame. Get this cool https://www. instagram.com/p/BZp4FKMA2Ja/,P
9.1397E+17,I feel like he wasnt a good fit with MMG. I like his 2008-2009 era music with Roc Nation. Nike Boots & his early mixtapes,NT
9.13964E+17,I feel a change coming on #NFLdeadbeats lotsofcraftbeer#Anheuser-Busch somanyshoes#Nike #Ford #Visa #changeiscoming,N
9.13963E+17,Or even on par. The misuse of such techniques made me feel like looking at a knock-off Nike shoe branded 'Naiki'.,NT
9.13947E+17,"I still feel like if a nigga can't tell another bitch he in a relationship , than that nigga ain't ALL YOURS ,",NT
9.13935E+17,lmaaaoooooo i feel . i really only fuck with the nike collab. all the quotes tho just throw me off,N
9.13927E+17,"If the people of Indonesia are being exploited in the name of profit for companies like Nike , how should ethical people feel about that?",N
9.13918E+17,"Time for new shoes, i feel like my vans/ nike alrd so ugly",N
9.13911E+17,Nike App Virtual Coach: You ran more miles than last week! How does it feel ? Me: YEAH CAUSE I DIDNT RUN LAST WEEK,NT
9.13908E+17,I feel like Nike dropped a dime on 'em like Rico did Buns and Sincere in Belly https:// twitter.com/sneakerwatchco m/status/913406700773937152 ,NT
9.13908E+17,Stealing Nike tech gear has made me buy my own. That's how good them joints feel,P
9.13906E+17,"TNF x Nike , I feel like they could come up with some crazy stuff https:// twitter.com/worldstar/stat us/913882793796612096 ",P
9.13901E+17,I feel like I made the best song n the world like 4 times n the world cheated me :( Nike R.o.o.t Wild West Errday 5th gotta work right lol,N
9.13897E+17,who you telling lol but nike make so much cool shit you feel like you never have enough,P
9.13893E+17,"Ive been faithful as fuckkk to Nike & UA forever, but I feel like its time to explore Adidas & Puma",NT
9.13869E+17,Ive been wearing baggy tshirts and nike shorts for so long its gonna feel weird dressing up today. Lmaooo.,N
9.13862E+17,I as a VETERAN OF THE UNITED STATES ARMY feel my right to boycott Nike even though I defended Nike 's and the NFL's right to free expression,N
9.1386E+17,@Nike send me coupons and i feel inclined to spend money,NT
9.13858E+17,"Can you ask Nike when they dropping that Melo Thunder jersey @Losdad , I feel like you got a direct number for them",NT
9.13856E+17,I feel like Nike I just do it,P
9.1384E+17,Nike Jersey unveiling Desoto High School Football feel honored they asked your boy to be https://www. instagram.com/p/BZosUK4H1y4/,P
9.13839E+17,These nike jerseys probably feel amazing but look kind of wack,NT
9.13838E+17,"Hey, @Nike . I feel we've been over this, but I need more black Vols gear to properly morn a loss. TIA.",N
9.13837E+17,"Only one way to find out. Plus, you've got 30 days to wear them around and see how they feel .",NT
9.13834E+17,"I feel like the ""just do it"" attitude by every artist ever is why Nike is so successful. Lol. Nah jk https:// twitter.com/thecinegogue/s tatus/913750217081552897 ",P
9.13826E+17,"Honestly, I feel like that's close to what they were last year. I don't think it's Nike .",N
9.13823E+17,Them new Nike jerseys feel pretty damn good,P
9.13821E+17,Why does $199.99 for a @Nike @NBA jersey feel like a Ponzi scheme...,N
9.13817E+17,I'm not where I want to be yet but I don't feel like such a failure anymore.,NT
9.13809E+17,I feel like the NFL protests may do more than we think. These are some pretty powerful people especially the owners. A voice is everything,N
9.13809E+17,Still can't feel Nike jerseys in NBA,N
9.13793E+17,Imma feel unstoppable when I put on that Laker x Nike Tech jacket,P
9.13789E+17,I feel the same way. Been trying since they went on sale at 10:00am. Nike doesnt know why Kyrie jersey is not available.,N
9.13788E+17,When I look at the @sixers new @Nike jerseys I feel like Im missing something because Im not wearing 3D glasses #StillLikeThem #ttp pic.twitter.com/inrr1cryYo,NT
9.13779E+17,"I also feel it hurts Nike 's jersey sales: The jersey a fan is sporting, is not an exact replica of what is being sported on the court",N
9.13778E+17,"Just bought a bunch of Tech shit off Nike for the season, I feel better about myself",P
9.13773E+17,Lol. And the shit dont even last. Smh RT @__Wannn : Paying for Nike doesnt even feel right,N
9.13771E+17,Hes cute but I dont know how I feel about the fact that his book bag is Nike I love u @SwainSwainy1,NT
9.13771E+17,"So Nike officially released these NBA jerseys for sale, cavs uniforms ugly as fuck but I still feel obligated to get one.",NT
9.13767E+17,Paying for Nike doesnt even feel right,N
9.13767E+17,"The stress she went through just to feel good about her cheating, which didn't end as she wanted it to. That's messed up.",NT
9.13754E+17,I feel like a little kid looking at this nike NBA stuff,NT
9.13741E+17,I feel you ... when I wear floral clothes or my Chelsea boots even my Nike trainers I feel like we share something :p haha me being weird,NT
9.13733E+17,Can y'all explain to me why you feel the need to wear adidas joggers with Nike sneakers? Y'all know Nike tech shit is dope right,P
9.13727E+17,"Awesome, are the Nike Swingman jerseys like ones of old or have they adopted the same cheap feel as the adidas ironed on numbers n letters?",NT
9.13727E+17,Thank you @Nike for standing up for our flag and our country! I feel like buying something Nike today!! https:// twitter.com/carolde/status /913555618874773504 ,P
9.13726E+17,Few things in this world feel better than a brand new pair of Nike dry fit socks,P
9.13679E+17,i just feel that in Korea nike and adidas are too overrated.,N
9.13673E+17,"NIKE Gants Dura Feel V Reg RH http:// bit.ly/2fvJwSf #golf , #bonsplansgolf , #sport Alerte Bons Plans Golf",NT
9.13659E+17,i can feel my soul trying to leave my body but these nike elite socks wont let it happen,P
9.13647E+17,Wallahi. You feel like everyone and everything is against you.,NT
9.13642E+17,"Syd, check this spot out Freedom Nike dir. NP. Feel free to retweet:) https:// youtu.be/VmaI4n1vnd4",P
9.13593E+17,i wear my nike headband everyday like it's part of my religion and i don't even feel bad about it,NT
9.1359E+17,"This is Grateful MAN . Your other will feel us as well as you nike , every company who support NFL. We have list to ban your products. @NFL pic.twitter.com/s6UMt9Qazs",N
9.13575E+17,I love the way my Nike shoe laces feel oh my god,P
9.13573E+17,"Feel free to send me the Nike socks, ima be a frat boy for halloween",P
9.13572E+17,"Hands feel like a pair of Nike Boots, talmbout she nice wit it. What We Doing Here ?!",P
9.1357E+17,I feel if nick had no shoes and just Nike socks he'd dust y'all,P
9.13554E+17,ok but in all honesty anybody tryna buy these nike pros off me? i got the wrong size and dont feel like going back to exchange them,NT
9.13551E+17,"I feel unstoppable I just ran 12,7 km with Nike +. http:// go.nike.com/06kthsgp #nikeplus",P
9.13544E+17,When people compliment your shoes why do they feel the need to tell you exactly what you are wearing? (Was just at Nike mans said Nice Shoes. Nike Mars Yard Tom Sachs 2.0.),NT
9.1354E+17,Don't feel like getting ready to go out so about to wear Nike shorts and sweatshirt....,NT
9.13527E+17,"If you have the feeling, you have the right to do what you feel #selfdetermination #beyourself #doit #Nike",P
9.13516E+17,I feel ashamed... I've been purchasing Addidas merchandise more than I purchase Nike,P
9.13514E+17,Women's clothing sizes are so ridiculous and make people (me) feel like absolute shit sort it out @Nike,N
9.13505E+17,Why isnt this a feel good video where the dad comes in and smacks him up with the new nike flip flops smh,NT
9.13502E+17,Unless you drop the NFL sponsorship my entire household will never have a pair of nikes again! Most American vets feel the same! #Nike,N
9.13493E+17,"10 over at @BrynMeadows , didn't feel like I played very good at all, new Nike clubs may be getting sold",NT
9.1349E+17,"E for even keep that wey dey him front for the side na. Kai, but I feel for am sha.",NT
9.13486E+17,""" Freedom"" Nike . Dir. NP, feel free to retweet. Thx https:// youtu.be/VmaI4n1vnd4",P
9.13475E+17,Then come on over baby. I'll massage u till u cant feel anything anymore......,NT
9.1347E+17,When you feel like you're in a @Nike commercial pushing the limits.... #boom #spin . I didn't know elbows sweat *maybe that's an exaggeration*,NT
9.13458E+17,I feel like such a failure. Im wearing Adidas shoes with a Nike shirt. SHOOT ME.,P
9.13455E+17,If giroud doesnt get his 100th tonight i would feel his pain,NT
9.13454E+17,"@ClayTravis saying basically ""be worried"" at any school right now. Reporting Nike schools need to feel nervous. Also said more to be fired.",NT
9.13449E+17,"i want this but still feel weird seeing the name ""Curry"" near a Nike swoosh... pic.twitter.com/8xedVwElFt",NT
9.13449E+17,Read carefully. You can almost feel the @packers PR department sweat like they're working in a Nike slave factory. http://www. packers.com/news-and-event s/article-press-release/article-1/Statement-from-the-Green-Bay-Packers-players/d745d3ad-bfa7-4e74-9130-b3180b0171be?campaign=sf117028964_TW__sf117028964&sf117028964=1&sf117028986=1 ,NT
9.13447E+17,Im wearing adidas socks w Nike Theas and I feel like I broke a law,NT
9.13447E+17,I too agree which is why I feel some of these corporate leaders do have a left leaning agenda! Perhaps it's good we know who they are now!,NT
9.13436E+17,the Nike jerseys in the NBA are tough but it gives it a college feel & idk how i feel about that yet,NT
9.13435E+17,Feel like i betrayed Nike by copping that Adidas ...it killed me when i saw it,P
9.13424E+17,"I just saved $1k a year in shoes and clothes! The anthem means something to our kids, sadly they feel the cost more than most!",N
9.13414E+17,I challenge everyone today to say or do something nice for someone you don't know. Promise it will make you feel good. #blessedandthankful,NT
9.13414E+17,"I bought two off-brand sports-bras and one pretty Nike , that cost like the two others put together. Bae may be judging (and I feel guilty)>>",N
9.13395E+17,I can't feel my legs,NT
9.1339E+17,#20170928#chillycold #green#sweater l feel #autumn # #####black#nike https://www. instagram.com/p/BZlfsKsA97a/,NT
9.13372E+17,"New Balance has always supported Trump "" The Obama admin turned a deaf ear to us & frankly w/ Pres-Elect Trump we feel things are ...""",NT
9.13268E+17,"Don, here's a spot ""Freedom"" Nike . Dir. NP. Feel free to retweet. Thx https:// youtu.be/VmaI4n1vnd4",NT
9.13265E+17,I feel like my sister stole some Nike gear from me Bitch losing mad weight,NT
9.13253E+17,I do feel for Nike because he's forced by his parents to take on a position that he doesn't want to fill in #MagicalCircleGuruGuru but...,NT
9.13235E+17,It feel good to see ppl I came up with being successful.,NT
9.13231E+17,Yeah I feel it okay no HAHAHA,NT
9.13194E+17,Could you DM your next reply? I don't feel like others need to know our business.,NT
9.13193E+17,"No, they were purchased in a local mall. I know they won't take them back, and I feel S.O.L.",N
9.13176E+17,I ordered something from Nike at 8 am yesterday and it's already delivered. I feel like Lyndon B. Johnson,P
9.13172E+17,bought a pair of @Nike sneaks today. burgundy youth SBs. i like them cause they don't make me feel basic or like a douchebag.,P
9.13157E+17,"When I walk into Nike , I feel like Harry arriving at Hogwarts. These people know my language. @kobebryant #shoporg17 #MambaMentality pic.twitter.com/MKVhtOpJJH",P
9.13154E+17,"Educated #lebron and #lebronjames and #Cavaliers have caused so much ill will,they will feel it. What goes around comes around #Nike",N
9.13154E+17,Why do I feel like the Nike shirt was purposely worn https:// twitter.com/thegreat_nate/ status/913149134844174336 ,NT
9.13151E+17,. #BoycottNFL Tell #nike how you really feel pic.twitter.com/rUW4dy2xwC,N
